mineral,year,ytd_flag,china_value_usd,selected_partner_value_usd,china_share,reported_partner_count,hts_codes,denominator_scope,data_status
aluminum,1993,false,12948049.0,71309012.0,0.1815766147,12,2606,selected_18_partners,reported
aluminum,1994,false,15837981.0,64313883.0,0.2462606868,12,2606,selected_18_partners,reported
aluminum,1995,false,14710600.0,62163446.0,0.2366438952,12,2606,selected_18_partners,reported
aluminum,1996,false,16295958.0,82751481.0,0.1969264816,12,2606,selected_18_partners,reported
aluminum,1997,false,18348311.0,83311882.0,0.2202364244,12,2606,selected_18_partners,reported
aluminum,1998,false,15302349.0,72518911.0,0.2110118421,12,2606,selected_18_partners,reported
aluminum,1999,false,14423204.0,67339612.0,0.2141860277,12,2606,selected_18_partners,reported
aluminum,2000,false,16490205.0,70486966.0,0.233946869,12,2606,selected_18_partners,reported
aluminum,2001,false,11311569.0,58587591.0,0.193071072,12,2606,selected_18_partners,reported
aluminum,2002,false,12548042.0,40602041.0,0.3090495377,12,2606,selected_18_partners,reported
aluminum,2003,false,13788756.0,55010430.0,0.2506571208,12,2606,selected_18_partners,reported
aluminum,2004,false,28509048.0,116718071.0,0.2442556474,12,2606,selected_18_partners,reported
aluminum,2005,false,22416041.0,169815798.0,0.1320020944,12,2606,selected_18_partners,reported
aluminum,2006,false,25187205.0,135931816.0,0.1852929339,12,2606,selected_18_partners,reported
aluminum,2007,false,27161919.0,136129263.0,0.1995303464,12,2606,selected_18_partners,reported
aluminum,2008,false,80712411.0,221947027.0,0.3636561935,12,2606,selected_18_partners,reported
aluminum,2009,false,13694874.0,121595221.0,0.1126267454,12,2606,selected_18_partners,reported
aluminum,2010,false,34688447.0,162633185.0,0.2132925516,12,2606,selected_18_partners,reported
aluminum,2011,false,25131194.0,86351571.0,0.2910334312,12,2606,selected_18_partners,reported
aluminum,2012,false,20799277.0,120551974.0,0.1725336907,12,2606,selected_18_partners,reported
aluminum,2013,false,35713724.0,138114134.0,0.2585812398,12,2606,selected_18_partners,reported
aluminum,2014,false,39907795.0,146980763.0,0.2715171304,12,2606,selected_18_partners,reported
aluminum,2015,false,30143492.0,146662556.0,0.2055295695,12,2606,selected_18_partners,reported
aluminum,2016,false,18927854.0,77535841.0,0.2441174785,12,2606,selected_18_partners,reported
aluminum,2017,false,30655743.0,76092550.0,0.4028744338,12,2606,selected_18_partners,reported
aluminum,2018,false,20776322.0,63366032.0,0.3278779078,12,2606,selected_18_partners,reported
aluminum,2019,false,12843079.0,65246697.0,0.196838761,12,2606,selected_18_partners,reported
aluminum,2020,false,16593784.0,21786089.0,0.7616687878,12,2606,selected_18_partners,reported
aluminum,2021,false,41687392.0,45553833.0,0.9151236955,12,2606,selected_18_partners,reported
aluminum,2022,false,27311141.0,33998056.0,0.8033147836,12,2606,selected_18_partners,reported
aluminum,2023,false,28426937.0,42932707.0,0.6621277573,12,2606,selected_18_partners,reported
aluminum,2024,false,35030634.0,50225913.0,0.6974613682,12,2606,selected_18_partners,reported
aluminum,2025,false,16480652.0,27534443.0,0.5985467729,12,2606,selected_18_partners,reported
aluminum,2026,false,,,,0,,selected_18_partners,missing_or_zero_denominator
aluminum,1993,true,4843272.0,27886341.0,0.1736790065,12,2606,selected_18_partners,reported
aluminum,1994,true,4171223.0,23307734.0,0.1789630429,12,2606,selected_18_partners,reported
aluminum,1995,true,5200530.0,24404019.0,0.2131013748,12,2606,selected_18_partners,reported
aluminum,1996,true,6923990.0,31843644.0,0.2174371124,12,2606,selected_18_partners,reported
aluminum,1997,true,9097224.0,33830594.0,0.26890524,12,2606,selected_18_partners,reported
aluminum,1998,true,7796044.0,24000094.0,0.3248338944,12,2606,selected_18_partners,reported
aluminum,1999,true,5803746.0,27565505.0,0.2105437938,12,2606,selected_18_partners,reported
aluminum,2000,true,6932726.0,32684794.0,0.2121086032,12,2606,selected_18_partners,reported
aluminum,2001,true,6241184.0,28506762.0,0.2189369666,12,2606,selected_18_partners,reported
aluminum,2002,true,3326902.0,16486064.0,0.2018008665,12,2606,selected_18_partners,reported
aluminum,2003,true,5180450.0,17894123.0,0.2895056662,12,2606,selected_18_partners,reported
aluminum,2004,true,7469284.0,39299295.0,0.1900615265,12,2606,selected_18_partners,reported
aluminum,2005,true,12910411.0,66583076.0,0.1938992876,12,2606,selected_18_partners,reported
aluminum,2006,true,11710281.0,67951966.0,0.1723317468,12,2606,selected_18_partners,reported
aluminum,2007,true,13093425.0,55925446.0,0.2341228535,12,2606,selected_18_partners,reported
aluminum,2008,true,25308609.0,76753773.0,0.3297376534,12,2606,selected_18_partners,reported
aluminum,2009,true,12547920.0,66856607.0,0.1876840684,12,2606,selected_18_partners,reported
aluminum,2010,true,4922862.0,58148313.0,0.0846604441,12,2606,selected_18_partners,reported
aluminum,2011,true,6417557.0,25008834.0,0.2566116037,12,2606,selected_18_partners,reported
aluminum,2012,true,8044834.0,49787995.0,0.161581803,12,2606,selected_18_partners,reported
aluminum,2013,true,11023406.0,54043842.0,0.2039715459,12,2606,selected_18_partners,reported
aluminum,2014,true,11173876.0,55369052.0,0.2018072478,12,2606,selected_18_partners,reported
aluminum,2015,true,17623645.0,68115873.0,0.2587303696,12,2606,selected_18_partners,reported
aluminum,2016,true,6411569.0,33096931.0,0.1937209526,12,2606,selected_18_partners,reported
aluminum,2017,true,7424327.0,22675635.0,0.3274142929,12,2606,selected_18_partners,reported
aluminum,2018,true,9262449.0,29010654.0,0.3192774972,12,2606,selected_18_partners,reported
aluminum,2019,true,2931219.0,24189731.0,0.1211761718,12,2606,selected_18_partners,reported
aluminum,2020,true,9100512.0,11747076.0,0.7747044456,12,2606,selected_18_partners,reported
aluminum,2021,true,11201696.0,12897597.0,0.8685103124,12,2606,selected_18_partners,reported
aluminum,2022,true,12974038.0,15616971.0,0.8307653257,12,2606,selected_18_partners,reported
aluminum,2023,true,12109214.0,20069230.0,0.6033721274,12,2606,selected_18_partners,reported
aluminum,2024,true,15899795.0,22410427.0,0.7094820192,12,2606,selected_18_partners,reported
aluminum,2025,true,5142582.0,12055947.0,0.4265597717,12,2606,selected_18_partners,reported
aluminum,2026,true,2134062.0,5928300.0,0.359978746,12,2606,selected_18_partners,reported
antimony,1993,false,20365599.0,23518147.0,0.8659525344,16,8110,selected_18_partners,reported
antimony,1994,false,50534744.0,56336411.0,0.8970174547,16,8110,selected_18_partners,reported
antimony,1995,false,50570371.0,54356017.0,0.9303546101,16,8110,selected_18_partners,reported
antimony,1996,false,38011422.0,44526960.0,0.8536720674,16,8110,selected_18_partners,reported
antimony,1997,false,25082896.0,27802439.0,0.9021832941,16,8110,selected_18_partners,reported
antimony,1998,false,16678850.0,17813990.0,0.9362781724,16,8110,selected_18_partners,reported
antimony,1999,false,15824592.0,17045159.0,0.9283921611,16,8110,selected_18_partners,reported
antimony,2000,false,16355735.0,17484161.0,0.9354601001,16,8110,selected_18_partners,reported
antimony,2001,false,11627522.0,14973906.0,0.7765189657,16,8110,selected_18_partners,reported
antimony,2002,false,4125656.0,4911507.0,0.8399979884,16,8110,selected_18_partners,reported
antimony,2003,false,8299633.0,9380353.0,0.884788984,16,8110,selected_18_partners,reported
antimony,2004,false,14742302.0,16873628.0,0.8736889304,16,8110,selected_18_partners,reported
antimony,2005,false,13510023.0,15971614.0,0.8458771293,16,8110,selected_18_partners,reported
antimony,2006,false,24105703.0,25706880.0,0.9377140672,16,8110,selected_18_partners,reported
antimony,2007,false,19940669.0,22323271.0,0.8932682401,16,8110,selected_18_partners,reported
antimony,2008,false,22410614.0,25418250.0,0.8816741514,16,8110,selected_18_partners,reported
antimony,2009,false,14910773.0,16256271.0,0.9172320639,16,8110,selected_18_partners,reported
antimony,2010,false,35636912.0,38094570.0,0.9354853461,16,8110,selected_18_partners,reported
antimony,2011,false,47817265.0,57353933.0,0.8337225104,16,8110,selected_18_partners,reported
antimony,2012,false,46083989.0,57464485.0,0.8019560081,16,8110,selected_18_partners,reported
antimony,2013,false,37559153.0,53221783.0,0.7057101601,16,8110,selected_18_partners,reported
antimony,2014,false,31792287.0,41906053.0,0.7586562018,16,8110,selected_18_partners,reported
antimony,2015,false,23062424.0,36726452.0,0.6279513197,16,8110,selected_18_partners,reported
antimony,2016,false,26823519.0,38493658.0,0.6968295661,16,8110,selected_18_partners,reported
antimony,2017,false,28482601.0,47679911.0,0.5973711025,16,8110,selected_18_partners,reported
antimony,2018,false,22323152.0,44730689.0,0.4990567438,16,8110,selected_18_partners,reported
antimony,2019,false,13812166.0,38050545.0,0.3629952212,16,8110,selected_18_partners,reported
antimony,2020,false,6109423.0,28560733.0,0.2139098811,16,8110,selected_18_partners,reported
antimony,2021,false,16623793.0,48593090.0,0.3421019943,16,8110,selected_18_partners,reported
antimony,2022,false,31333440.0,58795758.0,0.532920079,16,8110,selected_18_partners,reported
antimony,2023,false,9349071.0,39852687.0,0.2345907316,16,8110,selected_18_partners,reported
antimony,2024,false,10548234.0,42843598.0,0.2462032717,16,8110,selected_18_partners,reported
antimony,2025,false,3523948.0,67085940.0,0.0525288607,16,8110,selected_18_partners,reported
antimony,2026,false,,,,0,,selected_18_partners,missing_or_zero_denominator
antimony,1993,true,13864400.0,15301648.0,0.9060723394,16,8110,selected_18_partners,reported
antimony,1994,true,7160984.0,8200545.0,0.8732326937,16,8110,selected_18_partners,reported
antimony,1995,true,27531903.0,29290992.0,0.9399443692,16,8110,selected_18_partners,reported
antimony,1996,true,19824810.0,23631086.0,0.8389292815,16,8110,selected_18_partners,reported
antimony,1997,true,12973158.0,14049628.0,0.9233808895,16,8110,selected_18_partners,reported
antimony,1998,true,9902286.0,10518927.0,0.9413779561,16,8110,selected_18_partners,reported
antimony,1999,true,8719214.0,9028234.0,0.965771822,16,8110,selected_18_partners,reported
antimony,2000,true,7036472.0,7527944.0,0.9347136482,16,8110,selected_18_partners,reported
antimony,2001,true,3912622.0,5350067.0,0.7313220563,16,8110,selected_18_partners,reported
antimony,2002,true,2061663.0,2338552.0,0.8815981,16,8110,selected_18_partners,reported
antimony,2003,true,4177507.0,4851597.0,0.8610581217,16,8110,selected_18_partners,reported
antimony,2004,true,4378864.0,5719903.0,0.7655486465,16,8110,selected_18_partners,reported
antimony,2005,true,7070916.0,8324522.0,0.8494080501,16,8110,selected_18_partners,reported
antimony,2006,true,8711023.0,9590664.0,0.908281533,16,8110,selected_18_partners,reported
antimony,2007,true,7962890.0,9151258.0,0.8701415696,16,8110,selected_18_partners,reported
antimony,2008,true,7265847.0,7704596.0,0.9430536007,16,8110,selected_18_partners,reported
antimony,2009,true,3159496.0,3811772.0,0.8288785373,16,8110,selected_18_partners,reported
antimony,2010,true,10555067.0,11325065.0,0.9320093969,16,8110,selected_18_partners,reported
antimony,2011,true,26931954.0,30618017.0,0.8796113086,16,8110,selected_18_partners,reported
antimony,2012,true,18848875.0,24172269.0,0.7797726808,16,8110,selected_18_partners,reported
antimony,2013,true,14958908.0,21816897.0,0.6856569933,16,8110,selected_18_partners,reported
antimony,2014,true,10774847.0,14144603.0,0.7617638332,16,8110,selected_18_partners,reported
antimony,2015,true,9905446.0,15908076.0,0.6226677569,16,8110,selected_18_partners,reported
antimony,2016,true,6999858.0,13459102.0,0.5200835836,16,8110,selected_18_partners,reported
antimony,2017,true,10298556.0,18871800.0,0.5457113789,16,8110,selected_18_partners,reported
antimony,2018,true,10904692.0,18015443.0,0.6052969111,16,8110,selected_18_partners,reported
antimony,2019,true,7054083.0,19747574.0,0.3572126379,16,8110,selected_18_partners,reported
antimony,2020,true,3677366.0,13491917.0,0.2725606747,16,8110,selected_18_partners,reported
antimony,2021,true,6059619.0,18170509.0,0.3334864753,16,8110,selected_18_partners,reported
antimony,2022,true,15437127.0,25135962.0,0.6141450644,16,8110,selected_18_partners,reported
antimony,2023,true,3899960.0,20309485.0,0.1920265334,16,8110,selected_18_partners,reported
antimony,2024,true,2089251.0,9076648.0,0.2301786959,16,8110,selected_18_partners,reported
antimony,2025,true,3340452.0,29597341.0,0.1128632467,16,8110,selected_18_partners,reported
antimony,2026,true,316425.0,12989986.0,0.0243591487,16,8110,selected_18_partners,reported
bismuth,1993,false,1244055.0,1488541.0,0.835754608,13,8106,selected_18_partners,reported
bismuth,1994,false,542514.0,1473621.0,0.368150291,13,8106,selected_18_partners,reported
bismuth,1995,false,605090.0,1794232.0,0.3372417837,13,8106,selected_18_partners,reported
bismuth,1996,false,1176099.0,2173364.0,0.5411422109,13,8106,selected_18_partners,reported
bismuth,1997,false,1161967.0,2036856.0,0.5704708629,13,8106,selected_18_partners,reported
bismuth,1998,false,2832185.0,4452917.0,0.6360291467,13,8106,selected_18_partners,reported
bismuth,1999,false,4075783.0,5131269.0,0.7943031246,13,8106,selected_18_partners,reported
bismuth,2000,false,3288335.0,4943964.0,0.6651211457,13,8106,selected_18_partners,reported
bismuth,2001,false,3608791.0,4653762.0,0.7754567165,13,8106,selected_18_partners,reported
bismuth,2002,false,1763612.0,2619470.0,0.6732705471,13,8106,selected_18_partners,reported
bismuth,2003,false,3605655.0,4563984.0,0.7900235847,13,8106,selected_18_partners,reported
bismuth,2004,false,1282712.0,3489369.0,0.367605719,13,8106,selected_18_partners,reported
bismuth,2005,false,5492626.0,5763057.0,0.953075078,13,8106,selected_18_partners,reported
bismuth,2006,false,3915515.0,4792353.0,0.8170339288,13,8106,selected_18_partners,reported
bismuth,2007,false,9947427.0,12137873.0,0.8195362565,13,8106,selected_18_partners,reported
bismuth,2008,false,24172110.0,26974576.0,0.8961071344,13,8106,selected_18_partners,reported
bismuth,2009,false,8180876.0,9771493.0,0.8372186318,13,8106,selected_18_partners,reported
bismuth,2010,false,15447912.0,16113724.0,0.9586804391,13,8106,selected_18_partners,reported
bismuth,2011,false,22097090.0,23060620.0,0.9582175154,13,8106,selected_18_partners,reported
bismuth,2012,false,23638356.0,24840124.0,0.9516198872,13,8106,selected_18_partners,reported
bismuth,2013,false,20268635.0,22451662.0,0.9027676882,13,8106,selected_18_partners,reported
bismuth,2014,false,38085706.0,40962577.0,0.9297683102,13,8106,selected_18_partners,reported
bismuth,2015,false,29688168.0,30413965.0,0.9761360612,13,8106,selected_18_partners,reported
bismuth,2016,false,17358043.0,17985300.0,0.9651239067,13,8106,selected_18_partners,reported
bismuth,2017,false,22117070.0,24466832.0,0.9039613302,13,8106,selected_18_partners,reported
bismuth,2018,false,15347555.0,19839980.0,0.77356706,13,8106,selected_18_partners,reported
bismuth,2019,false,9037143.0,13730053.0,0.6582016107,13,8106,selected_18_partners,reported
bismuth,2020,false,5358211.0,9230763.0,0.5804732502,13,8106,selected_18_partners,reported
bismuth,2021,false,10850521.0,14057566.0,0.7718634222,13,8106,selected_18_partners,reported
bismuth,2022,false,17644975.0,24409780.0,0.7228649746,13,8106,selected_18_partners,reported
bismuth,2023,false,7514303.0,14668463.0,0.5122760987,13,8106,selected_18_partners,reported
bismuth,2024,false,7247225.0,17943124.0,0.4038998449,13,8106,selected_18_partners,reported
bismuth,2025,false,3468266.0,28949861.0,0.1198025096,13,8106,selected_18_partners,reported
bismuth,2026,false,,,,0,,selected_18_partners,missing_or_zero_denominator
bismuth,1993,true,547877.0,593972.0,0.9223953318,13,8106,selected_18_partners,reported
bismuth,1994,true,80233.0,400037.0,0.2005639478,13,8106,selected_18_partners,reported
bismuth,1995,true,140791.0,510829.0,0.2756127784,13,8106,selected_18_partners,reported
bismuth,1996,true,675091.0,1138525.0,0.5929522848,13,8106,selected_18_partners,reported
bismuth,1997,true,112044.0,523472.0,0.2140401015,13,8106,selected_18_partners,reported
bismuth,1998,true,1356339.0,2178623.0,0.6225670986,13,8106,selected_18_partners,reported
