mineral,year,ytd_flag,non_china_supplier_count,non_china_value_usd,hhi_value_0_1,hhi_value_0_10000,hts_codes,denominator_scope,data_status
aluminum,1993,false,5,58360963.0,0.876774241,8767.7424,2606,non_china_members_of_selected_18_partners,reported
aluminum,1994,false,4,48475902.0,0.9431002708,9431.0027,2606,non_china_members_of_selected_18_partners,reported
aluminum,1995,false,7,47452846.0,0.8444439973,8444.44,2606,non_china_members_of_selected_18_partners,reported
aluminum,1996,false,6,66455523.0,0.9029976962,9029.977,2606,non_china_members_of_selected_18_partners,reported
aluminum,1997,false,7,64963571.0,0.8881549119,8881.5491,2606,non_china_members_of_selected_18_partners,reported
aluminum,1998,false,6,57216562.0,0.8577733909,8577.7339,2606,non_china_members_of_selected_18_partners,reported
aluminum,1999,false,6,52916408.0,0.8453890674,8453.8907,2606,non_china_members_of_selected_18_partners,reported
aluminum,2000,false,6,53996761.0,0.7950492292,7950.4923,2606,non_china_members_of_selected_18_partners,reported
aluminum,2001,false,4,47276022.0,0.7039687507,7039.6875,2606,non_china_members_of_selected_18_partners,reported
aluminum,2002,false,3,28053999.0,0.6742905093,6742.9051,2606,non_china_members_of_selected_18_partners,reported
aluminum,2003,false,4,41221674.0,0.6878207631,6878.2076,2606,non_china_members_of_selected_18_partners,reported
aluminum,2004,false,5,88209023.0,0.7523927907,7523.9279,2606,non_china_members_of_selected_18_partners,reported
aluminum,2005,false,5,147399757.0,0.6118101859,6118.1019,2606,non_china_members_of_selected_18_partners,reported
aluminum,2006,false,5,110744611.0,0.6609925254,6609.9253,2606,non_china_members_of_selected_18_partners,reported
aluminum,2007,false,2,108967344.0,0.7740853071,7740.8531,2606,non_china_members_of_selected_18_partners,reported
aluminum,2008,false,5,141234616.0,0.9280268453,9280.2685,2606,non_china_members_of_selected_18_partners,reported
aluminum,2009,false,4,107900347.0,0.9641414043,9641.414,2606,non_china_members_of_selected_18_partners,reported
aluminum,2010,false,4,127944738.0,0.9680037324,9680.0373,2606,non_china_members_of_selected_18_partners,reported
aluminum,2011,false,6,61220377.0,0.9245127765,9245.1278,2606,non_china_members_of_selected_18_partners,reported
aluminum,2012,false,6,99752697.0,0.9276837963,9276.838,2606,non_china_members_of_selected_18_partners,reported
aluminum,2013,false,5,102400410.0,0.9065067648,9065.0676,2606,non_china_members_of_selected_18_partners,reported
aluminum,2014,false,6,107072968.0,0.8956585226,8956.5852,2606,non_china_members_of_selected_18_partners,reported
aluminum,2015,false,5,116519064.0,0.9183182721,9183.1827,2606,non_china_members_of_selected_18_partners,reported
aluminum,2016,false,5,58607987.0,0.7577249852,7577.2499,2606,non_china_members_of_selected_18_partners,reported
aluminum,2017,false,4,45436807.0,0.7555746824,7555.7468,2606,non_china_members_of_selected_18_partners,reported
